time_min,signal
0.000000,0.00000000
0.016667,0.00000000
0.033333,0.00000000
0.050000,0.00000000
0.066667,0.00000000
0.083333,0.00065456
0.100000,0.00010292
0.116667,0.00000000
0.133333,0.00055170
0.150000,0.00000000
0.166667,0.00065163
0.183333,0.00084203
0.200000,0.00000000
0.216667,0.00000000
0.233333,0.00002198
0.250000,0.00098291
0.266667,0.00000000
0.283333,0.00000000
0.300000,0.00065067
0.316667,0.00050400
0.333333,0.00014984
0.350000,0.00037999
0.366667,0.00000000
0.383333,0.00046247
0.400000,0.00000000
0.416667,0.00000000
0.433333,0.00000000
0.450000,0.00054140
0.466667,0.00000000
0.483333,0.00069751
0.500000,0.00052081
0.516667,0.00000000
0.533333,0.00038319
0.550000,0.00037617
0.566667,0.00033456
0.583333,0.00069635
0.600000,0.00000000
0.616667,0.00000000
0.633333,0.00034003
0.650000,0.00032148
0.666667,0.00007379
0.683333,0.00047245
0.700000,0.00000000
0.716667,0.00053548
0.733333,0.00023553
0.750000,0.00000000
0.766667,0.00000000
0.783333,0.00000000
0.800000,0.00012722
0.816667,0.00069260
0.833333,0.00000000
0.850000,0.00054153
0.866667,0.00037179
0.883333,0.00044376
0.900000,0.00036368
0.916667,0.00000000
0.933333,0.00000000
0.950000,0.00000000
0.966667,0.00034174
0.983333,0.00015463
1.000000,0.00043349
1.016667,0.00028763
1.033333,0.00066907
1.050000,0.00000000
1.066667,0.00000000
1.083333,0.00000000
1.100000,0.00067530
1.116667,0.00002637
1.133333,0.00008498
1.150000,0.00007079
1.166667,0.00011201
1.183333,0.00000000
1.200000,0.00074712
1.216667,0.00093687
1.233333,0.00000000
1.250000,0.00000000
1.266667,0.00011182
1.283333,0.00038942
1.300000,0.00023492
1.316667,0.00007545
1.333333,0.00087128
1.350000,0.00000000
1.366667,0.00000000
1.383333,0.00000000
1.400000,0.00000000
1.416667,0.00016887
1.433333,0.00000000
1.450000,0.00050182
1.466667,0.00130228
1.483333,0.00000000
1.500000,0.00000000
1.516667,0.00039383
1.533333,0.00029717
1.550000,0.00062131
1.566667,0.00101952
1.583333,0.00055264
1.600000,0.00000000
1.616667,0.00033989
1.633333,0.00000000
1.650000,0.00000000
1.666667,0.00008132
1.683333,0.00000000
1.700000,0.00000000
1.716667,0.00008114
1.733333,0.00012314
1.750000,0.00029659
1.766667,0.00059167
1.783333,0.00005601
1.800000,0.00013073
1.816667,0.00103362
1.833333,0.00000000
1.850000,0.00000000
1.866667,0.00000553
1.883333,0.00012800
1.900000,0.00000000
1.916667,0.00024924
1.933333,0.00038400
1.950000,0.00068404
1.966667,0.00079059
1.983333,0.00091760
2.000000,0.00000000
2.016667,0.00086215
2.033333,0.00082490
2.050000,0.00037924
2.066667,0.00035882
2.083333,0.00000000
2.100000,0.00000000
2.116667,0.00000000
2.133333,0.00005161
2.150000,0.00000000
2.166667,0.00018794
2.183333,0.00002478
2.200000,0.00109380
2.216667,0.00000000
2.233333,0.00000000
2.250000,0.00000000
2.266667,0.00039477
2.283333,0.00000000
2.300000,0.00023092
2.316667,0.00091573
2.333333,0.00000000
2.350000,0.00000000
2.366667,0.00005362
2.383333,0.00034181
2.400000,0.00000000
2.416667,0.00011666
2.433333,0.00056115
2.450000,0.00000000
