time_min,signal
0.000000,0.00000000
0.016667,0.00155547
0.033333,0.00000000
0.050000,0.00000000
0.066667,0.00023852
0.083333,0.00020075
0.100000,0.00005947
0.116667,0.00038295
0.133333,0.00000000
0.150000,0.00208378
0.166667,0.00015736
0.183333,0.00073238
0.200000,0.00064828
0.216667,0.00154440
0.233333,0.00047635
0.250000,0.00000000
0.266667,0.00051574
0.283333,0.00054531
0.300000,0.00109511
0.316667,0.00000000
0.333333,0.00008485
0.350000,0.00035484
0.366667,0.00000000
0.383333,0.00000000
0.400000,0.00054822
0.416667,0.00000000
0.433333,0.00003053
0.450000,0.00012698
0.466667,0.00000000
0.483333,0.00000000
0.500000,0.00000000
0.516667,0.00004344
0.533333,0.00078851
0.550000,0.00000000
0.566667,0.00000000
0.583333,0.00061556
0.600000,0.00092425
0.616667,0.00000000
0.633333,0.00011581
0.650000,0.00000000
0.666667,0.00016889
0.683333,0.00000000
0.700000,0.00070247
0.716667,0.00000000
0.733333,0.00000000
0.750000,0.00050877
0.766667,0.00016204
0.783333,0.00000000
0.800000,0.00000000
0.816667,0.00000000
0.833333,0.00000000
0.850000,0.00000000
0.866667,0.00000000
0.883333,0.00028476
0.900000,0.00006146
0.916667,0.00000000
0.933333,0.00000000
0.950000,0.00000000
0.966667,0.00059748
0.983333,0.00000000
1.000000,0.00000000
1.016667,0.00000000
1.033333,0.00050845
1.050000,0.00045215
1.066667,0.00000000
1.083333,0.00199800
1.100000,0.00078278
1.116667,0.00000000
1.133333,0.00000000
1.150000,0.00034222
1.166667,0.00012977
1.183333,0.00000000
1.200000,0.00011931
1.216667,0.00000000
1.233333,0.00147409
1.250000,0.00000000
1.266667,0.00000000
1.283333,0.00000000
1.300000,0.00000000
1.316667,0.00014422
1.333333,0.00036627
1.350000,0.00000000
1.366667,0.00000000
1.383333,0.00000000
1.400000,0.00065661
1.416667,0.00080902
1.433333,0.00054581
1.450000,0.00172118
1.466667,0.00049090
1.483333,0.00072358
1.500000,0.00000000
1.516667,0.00000000
1.533333,0.00000000
1.550000,0.00054642
1.566667,0.00000000
1.583333,0.00037971
1.600000,0.00116987
1.616667,0.00026051
1.633333,0.00000000
1.650000,0.00000000
1.666667,0.00078869
1.683333,0.00000000
1.700000,0.00068727
1.716667,0.00023005
1.733333,0.00083595
1.750000,0.00000000
1.766667,0.00000000
1.783333,0.00036417
1.800000,0.00000000
1.816667,0.00000000
1.833333,0.00000000
1.850000,0.00024395
1.866667,0.00000000
1.883333,0.00000000
1.900000,0.00084650
1.916667,0.00000000
1.933333,0.00000000
1.950000,0.00014269
1.966667,0.00000000
1.983333,0.00033498
2.000000,0.00077738
2.016667,0.00057529
2.033333,0.00062621
