time_min,signal
0.000000,0.00079488
0.016667,0.00036682
0.033333,0.00000000
0.050000,0.00041493
0.066667,0.00000000
0.083333,0.00000000
0.100000,0.00000000
0.116667,0.00016824
0.133333,0.00000000
0.150000,0.00000000
0.166667,0.00000000
0.183333,0.00055142
0.200000,0.00001196
0.216667,0.00000000
0.233333,0.00000000
0.250000,0.00000000
0.266667,0.00000000
0.283333,0.00032865
0.300000,0.00000000
0.316667,0.00070345
0.333333,0.00000000
0.350000,0.00055937
0.366667,0.00023444
0.383333,0.00056299
0.400000,0.00050982
0.416667,0.00000000
0.433333,0.00003081
0.450000,0.00000000
0.466667,0.00000000
0.483333,0.00000000
0.500000,0.00019843
0.516667,0.00047597
0.533333,0.00013386
0.550000,0.00000000
0.566667,0.00000000
0.583333,0.00051434
0.600000,0.00000000
0.616667,0.00000000
0.633333,0.00016090
0.650000,0.00000000
0.666667,0.00016390
0.683333,0.00015807
0.700000,0.00009862
0.716667,0.00000000
0.733333,0.00014040
0.750000,0.00061661
0.766667,0.00000000
0.783333,0.00000000
0.800000,0.00000000
0.816667,0.00039683
0.833333,0.00096694
0.850000,0.00056684
0.866667,0.00000574
0.883333,0.00083072
0.900000,0.00000000
0.916667,0.00070042
0.933333,0.00074234
0.950000,0.00000000
0.966667,0.00000000
0.983333,0.00001324
1.000000,0.00079213
1.016667,0.00000000
1.033333,0.00017485
1.050000,0.00000000
1.066667,0.00000000
1.083333,0.00000000
1.100000,0.00013911
1.116667,0.00000000
1.133333,0.00000000
1.150000,0.00011263
1.166667,0.00000000
1.183333,0.00000000
1.200000,0.00000000
1.216667,0.00043138
1.233333,0.00000000
1.250000,0.00000000
1.266667,0.00000000
1.283333,0.00033352
1.300000,0.00000000
1.316667,0.00008884
1.333333,0.00000000
1.350000,0.00000000
1.366667,0.00000000
1.383333,0.00000000
1.400000,0.00040538
1.416667,0.00000000
1.433333,0.00030523
1.450000,0.00041363
1.466667,0.00010436
1.483333,0.00019822
1.500000,0.00050070
1.516667,0.00022165
1.533333,0.00018161
1.550000,0.00000000
1.566667,0.00081250
1.583333,0.00062048
1.600000,0.00000000
1.616667,0.00000000
1.633333,0.00081060
1.650000,0.00110989
1.666667,0.00027097
1.683333,0.00090197
1.700000,0.00000000
1.716667,0.00022885
1.733333,0.00105836
1.750000,0.00127627
1.766667,0.00081184
1.783333,0.00004731
1.800000,0.00026439
1.816667,0.00075180
1.833333,0.00042239
1.850000,0.00000000
1.866667,0.00024994
1.883333,0.00019949
1.900000,0.00000000
1.916667,0.00050012
1.933333,0.00000000
1.950000,0.00000000
1.966667,0.00000000
1.983333,0.00014735
2.000000,0.00000000
2.016667,0.00000000
2.033333,0.00000000
2.050000,0.00000000
2.066667,0.00027636
2.083333,0.00000000
2.100000,0.00002170
2.116667,0.00000000
2.133333,0.00000000
2.150000,0.00042616
2.166667,0.00067895
2.183333,0.00000000
2.200000,0.00072842
2.216667,0.00000000
2.233333,0.00039735
2.250000,0.00040046
2.266667,0.00000000
2.283333,0.00056950
2.300000,0.00000000
2.316667,0.00040664
2.333333,0.00073505
2.350000,0.00052501
2.366667,0.00000000
2.383333,0.00055226
2.400000,0.00088669
2.416667,0.00042925
2.433333,0.00024057
2.450000,0.00000000
2.466667,0.00061609
2.483333,0.00000000
2.500000,0.00000000
2.516667,0.00104769
2.533333,0.00021189
2.550000,0.00040496
2.566667,0.00017110
2.583333,0.00000000
2.600000,0.00010021
2.616667,0.00018764
2.633333,0.00044331
2.650000,0.00013338
2.666667,0.00000000
2.683333,0.00005599
2.700000,0.00000000
2.716667,0.00014372
2.733333,0.00030782
2.750000,0.00014384
2.766667,0.00055955
2.783333,0.00000000
2.800000,0.00000000
2.816667,0.00009120
2.833333,0.00000000
2.850000,0.00000000
2.866667,0.00000000
2.883333,0.00000000
2.900000,0.00025223
2.916667,0.00110569
2.933333,0.00000000
2.950000,0.00000000
2.966667,0.00100136
2.983333,0.00000000
3.000000,0.00092476
3.016667,0.00011749
3.033333,0.00000000
3.050000,0.00002998
3.066667,0.00000000
3.083333,0.00027073
3.100000,0.00081980
3.116667,0.00090097
3.133333,0.00165975
3.150000,0.00134002
3.166667,0.00343864
3.183333,0.00426206
3.200000,0.00759371
3.216667,0.01055954
3.233333,0.01445952
3.250000,0.01865381
3.266667,0.02242441
3.283333,0.02876669
3.300000,0.03217518
3.316667,0.03593088
3.333333,0.03749854
3.350000,0.03677944
3.366667,0.03706492
3.383333,0.03561484
3.400000,0.03222189
3.416667,0.03054475
3.433333,0.02553961
3.450000,0.02111879
3.466667,0.01614150
3.483333,0.01119388
3.500000,0.00854370
3.516667,0.00654388
3.533333,0.00452941
3.550000,0.00171345
3.566667,0.00180654
3.583333,0.00192691
3.600000,0.00181973
3.616667,0.00110083
3.633333,0.00064790
3.650000,0.00033507
3.666667,0.00039133
3.683333,0.00050708
3.700000,0.00062979
3.716667,0.00000811
3.733333,0.00000000
3.750000,0.00000000
3.766667,0.00139981
3.783333,0.00000000
3.800000,0.00000000
3.816667,0.00018438
3.833333,0.00000000
3.850000,0.00001589
3.866667,0.00000000
3.883333,0.00000000
3.900000,0.00000000
3.916667,0.00000000
3.933333,0.00024140
3.950000,0.00038284
3.966667,0.00000000
3.983333,0.00000000
4.000000,0.00103273
4.016667,0.00025125
4.033333,0.00000000
4.050000,0.00107892
4.066667,0.00039729
4.083333,0.00000000
4.100000,0.00020722
4.116667,0.00000000
4.133333,0.00000478
4.150000,0.00000000
4.166667,0.00000000
4.183333,0.00000000
4.200000,0.00036155
4.216667,0.00000000
4.233333,0.00000000
4.250000,0.00000000
4.266667,0.00038561
4.283333,0.00000000
4.300000,0.00000000
4.316667,0.00000000
4.333333,0.00089700
4.350000,0.00000000
4.366667,0.00018581
4.383333,0.00000000
4.400000,0.00025559
4.416667,0.00092889
4.433333,0.00018667
4.450000,0.00039281
4.466667,0.00000000
4.483333,0.00010966
4.500000,0.00000000
4.516667,0.00000000
4.533333,0.00025952
4.550000,0.00000000
4.566667,0.00000000
4.583333,0.00000000
4.600000,0.00000000
4.616667,0.00005718
4.633333,0.00060511
4.650000,0.00000000
4.666667,0.00022620
4.683333,0.00061627
4.700000,0.00012137
4.716667,0.00000000
4.733333,0.00038350
4.750000,0.00046067
4.766667,0.00000000
4.783333,0.00000000
4.800000,0.00008277
4.816667,0.00049857
4.833333,0.00000000
4.850000,0.00000000
4.866667,0.00000000
4.883333,0.00130952
4.900000,0.00000000
4.916667,0.00034751
4.933333,0.00011905
4.950000,0.00000000
4.966667,0.00000000
4.983333,0.00034244
5.000000,0.00000000
5.016667,0.00036993
5.033333,0.00057781
5.050000,0.00039372
5.066667,0.00123448
5.083333,0.00000000
5.100000,0.00000000
5.116667,0.00000000
5.133333,0.00000000
5.150000,0.00000000
5.166667,0.00047133
5.183333,0.00000000
5.200000,0.00053592
5.216667,0.00000000
5.233333,0.00073241
5.250000,0.00036007
5.266667,0.00118663
5.283333,0.00031208
5.300000,0.00000000
5.316667,0.00000000
5.333333,0.00055020
5.350000,0.00031537
5.366667,0.00000000
5.383333,0.00000000
5.400000,0.00097129
5.416667,0.00000000
5.433333,0.00047246
5.450000,0.00020416
5.466667,0.00000000
5.483333,0.00022284
5.500000,0.00000000
5.516667,0.00000000
5.533333,0.00000000
5.550000,0.00122610
5.566667,0.00000721
5.583333,0.00000000
5.600000,0.00059961
5.616667,0.00000000
5.633333,0.00031070
5.650000,0.00000000
5.666667,0.00005094
5.683333,0.00000000
5.700000,0.00042462
5.716667,0.00000000
5.733333,0.00000000
5.750000,0.00000000
5.766667,0.00042025
5.783333,0.00000000
5.800000,0.00087184
5.816667,0.00000000
5.833333,0.00000000
5.850000,0.00000000
5.866667,0.00000000
5.883333,0.00015992
5.900000,0.00011551
5.916667,0.00000000
5.933333,0.00000000
5.950000,0.00000000
5.966667,0.00080400
5.983333,0.00060481
6.000000,0.00025926
6.016667,0.00020492
6.033333,0.00000000
6.050000,0.00000000
6.066667,0.00000000
6.083333,0.00000000
6.100000,0.00022802
6.116667,0.00000000
6.133333,0.00000000
6.150000,0.00000000
6.166667,0.00000000
6.183333,0.00031495
6.200000,0.00064985
6.216667,0.00000000
6.233333,0.00000000
6.250000,0.00000000
6.266667,0.00000000
6.283333,0.00000000
6.300000,0.00094906
6.316667,0.00082601
6.333333,0.00000000
6.350000,0.00061464
6.366667,0.00044436
6.383333,0.00000000
6.400000,0.00054195
6.416667,0.00000000
6.433333,0.00000000
6.450000,0.00000000
6.466667,0.00000000
6.483333,0.00000000
6.500000,0.00000000
6.516667,0.00000000
6.533333,0.00002327
6.550000,0.00000000
6.566667,0.00000000
6.583333,0.00005368
6.600000,0.00004399
6.616667,0.00000000
6.633333,0.00000000
6.650000,0.00000000
6.666667,0.00000000
6.683333,0.00045831
6.700000,0.00000000
6.716667,0.00022138
6.733333,0.00000000
6.750000,0.00000000
6.766667,0.00000000
6.783333,0.00004749
6.800000,0.00025122
6.816667,0.00000000
