time_min,signal
0.000000,0.00000000
0.016667,0.00000000
0.033333,0.00000000
0.050000,0.00003164
0.066667,0.00063670
0.083333,0.00087978
0.100000,0.00032666
0.116667,0.00037793
0.133333,0.00000000
0.150000,0.00018121
0.166667,0.00000000
0.183333,0.00000000
0.200000,0.00000000
0.216667,0.00109903
0.233333,0.00000000
0.250000,0.00000917
0.266667,0.00006130
0.283333,0.00033744
0.300000,0.00000000
0.316667,0.00000000
0.333333,0.00000000
0.350000,0.00000000
0.366667,0.00086688
0.383333,0.00019178
0.400000,0.00000000
0.416667,0.00075784
0.433333,0.00000000
0.450000,0.00005113
0.466667,0.00034184
0.483333,0.00012416
0.500000,0.00000000
0.516667,0.00013222
0.533333,0.00009257
0.550000,0.00016690
0.566667,0.00067461
0.583333,0.00000000
0.600000,0.00000000
0.616667,0.00000000
0.633333,0.00020297
0.650000,0.00000000
0.666667,0.00000000
0.683333,0.00007684
0.700000,0.00000000
0.716667,0.00000000
0.733333,0.00034600
0.750000,0.00000000
0.766667,0.00000885
0.783333,0.00000000
0.800000,0.00000000
0.816667,0.00000000
0.833333,0.00062589
0.850000,0.00000000
0.866667,0.00100885
0.883333,0.00000000
0.900000,0.00037037
0.916667,0.00004197
0.933333,0.00000000
0.950000,0.00026870
0.966667,0.00000000
0.983333,0.00000000
1.000000,0.00027579
1.016667,0.00028419
1.033333,0.00000000
1.050000,0.00000000
1.066667,0.00055583
1.083333,0.00000000
1.100000,0.00030524
1.116667,0.00049389
1.133333,0.00032475
1.150000,0.00000000
1.166667,0.00047149
1.183333,0.00003860
1.200000,0.00000000
1.216667,0.00016383
1.233333,0.00038445
1.250000,0.00000000
1.266667,0.00000000
1.283333,0.00000000
1.300000,0.00023460
1.316667,0.00000000
1.333333,0.00000000
1.350000,0.00000000
1.366667,0.00000000
1.383333,0.00000000
1.400000,0.00000000
1.416667,0.00000000
1.433333,0.00000000
1.450000,0.00098857
1.466667,0.00000000
1.483333,0.00121394
1.500000,0.00003263
1.516667,0.00000000
1.533333,0.00027236
1.550000,0.00000000
1.566667,0.00000000
1.583333,0.00036304
1.600000,0.00000000
1.616667,0.00000000
1.633333,0.00000000
1.650000,0.00000000
1.666667,0.00000000
1.683333,0.00000000
1.700000,0.00030100
1.716667,0.00000000
1.733333,0.00033042
1.750000,0.00006026
1.766667,0.00071770
1.783333,0.00035429
1.800000,0.00000000
1.816667,0.00000000
1.833333,0.00018280
1.850000,0.00000000
1.866667,0.00019047
1.883333,0.00000000
1.900000,0.00000000
1.916667,0.00042422
1.933333,0.00000000
1.950000,0.00000000
1.966667,0.00000000
1.983333,0.00011556
2.000000,0.00000000
2.016667,0.00063657
2.033333,0.00000000
2.050000,0.00010315
2.066667,0.00002849
2.083333,0.00000000
2.100000,0.00087059
2.116667,0.00067388
2.133333,0.00091513
2.150000,0.00048417
2.166667,0.00013350
2.183333,0.00000000
2.200000,0.00000000
2.216667,0.00000000
2.233333,0.00032725
2.250000,0.00040362
2.266667,0.00000000
2.283333,0.00055419
2.300000,0.00000000
2.316667,0.00005296
2.333333,0.00080354
2.350000,0.00000000
2.366667,0.00000000
2.383333,0.00000000
2.400000,0.00052832
2.416667,0.00016857
2.433333,0.00000000
2.450000,0.00063536
