time_min,signal
0.000000,0.00004794
0.016667,0.00000000
0.033333,0.00000000
0.050000,0.00076760
0.066667,0.00000000
0.083333,0.00033388
0.100000,0.00005973
0.116667,0.00022173
0.133333,0.00013085
0.150000,0.00000000
0.166667,0.00000674
0.183333,0.00018803
0.200000,0.00037265
0.216667,0.00000000
0.233333,0.00061571
0.250000,0.00005492
0.266667,0.00000000
0.283333,0.00000000
0.300000,0.00006726
0.316667,0.00067316
0.333333,0.00000000
0.350000,0.00009833
0.366667,0.00004646
0.383333,0.00000000
0.400000,0.00001681
0.416667,0.00000000
0.433333,0.00000000
0.450000,0.00000000
0.466667,0.00007408
0.483333,0.00000000
0.500000,0.00049164
0.516667,0.00000000
0.533333,0.00000000
0.550000,0.00000000
0.566667,0.00000000
0.583333,0.00000000
0.600000,0.00000000
0.616667,0.00013832
0.633333,0.00000000
0.650000,0.00082666
0.666667,0.00000000
0.683333,0.00000000
0.700000,0.00087195
0.716667,0.00000000
0.733333,0.00007809
0.750000,0.00004067
0.766667,0.00000000
0.783333,0.00000000
0.800000,0.00000000
0.816667,0.00054867
0.833333,0.00000000
0.850000,0.00001952
0.866667,0.00000000
0.883333,0.00000000
0.900000,0.00000000
0.916667,0.00022265
0.933333,0.00030993
0.950000,0.00000000
0.966667,0.00002550
0.983333,0.00000000
1.000000,0.00000000
1.016667,0.00000000
1.033333,0.00020630
1.050000,0.00000000
1.066667,0.00000000
1.083333,0.00000000
1.100000,0.00000000
1.116667,0.00000000
1.133333,0.00000000
1.150000,0.00000000
1.166667,0.00000000
1.183333,0.00021247
1.200000,0.00019880
1.216667,0.00040815
1.233333,0.00034409
1.250000,0.00030736
1.266667,0.00025964
1.283333,0.00011944
1.300000,0.00000000
1.316667,0.00000299
1.333333,0.00045329
1.350000,0.00000000
1.366667,0.00000000
1.383333,0.00000000
1.400000,0.00000000
1.416667,0.00000000
1.433333,0.00000000
1.450000,0.00000000
1.466667,0.00000000
1.483333,0.00000000
1.500000,0.00000000
1.516667,0.00020181
1.533333,0.00012950
1.550000,0.00056710
1.566667,0.00000000
1.583333,0.00000000
1.600000,0.00000000
1.616667,0.00008796
1.633333,0.00080684
1.650000,0.00002301
1.666667,0.00034406
1.683333,0.00002783
1.700000,0.00000000
1.716667,0.00082468
1.733333,0.00066322
1.750000,0.00042974
1.766667,0.00000000
1.783333,0.00032869
1.800000,0.00000000
1.816667,0.00058839
1.833333,0.00000000
1.850000,0.00000000
1.866667,0.00000000
1.883333,0.00000000
1.900000,0.00000000
1.916667,0.00000000
1.933333,0.00003587
1.950000,0.00000000
1.966667,0.00000000
1.983333,0.00000000
2.000000,0.00000000
2.016667,0.00000000
2.033333,0.00002566
2.050000,0.00048316
2.066667,0.00002053
2.083333,0.00043814
2.100000,0.00015806
2.116667,0.00065196
2.133333,0.00000000
2.150000,0.00000000
2.166667,0.00032311
2.183333,0.00000000
2.200000,0.00000000
2.216667,0.00000000
2.233333,0.00000000
2.250000,0.00000000
2.266667,0.00065965
2.283333,0.00000000
2.300000,0.00000000
2.316667,0.00000000
2.333333,0.00000000
2.350000,0.00023753
2.366667,0.00000000
2.383333,0.00000000
2.400000,0.00050063
2.416667,0.00050427
2.433333,0.00000000
2.450000,0.00000000
2.466667,0.00000000
2.483333,0.00000000
2.500000,0.00000000
2.516667,0.00035002
2.533333,0.00000000
2.550000,0.00000000
2.566667,0.00002330
2.583333,0.00000000
2.600000,0.00000000
2.616667,0.00000000
2.633333,0.00000000
2.650000,0.00000000
2.666667,0.00000000
2.683333,0.00003478
2.700000,0.00000000
2.716667,0.00014876
2.733333,0.00006518
2.750000,0.00000000
2.766667,0.00000000
2.783333,0.00002381
2.800000,0.00004539
2.816667,0.00033216
2.833333,0.00010430
2.850000,0.00000000
2.866667,0.00000000
2.883333,0.00027577
2.900000,0.00000000
2.916667,0.00046109
2.933333,0.00000000
2.950000,0.00001760
2.966667,0.00000000
2.983333,0.00000000
3.000000,0.00000000
3.016667,0.00000000
3.033333,0.00032890
3.050000,0.00064748
3.066667,0.00017325
3.083333,0.00068612
3.100000,0.00047070
3.116667,0.00070994
3.133333,0.00062269
3.150000,0.00228019
3.166667,0.00336467
3.183333,0.00505528
3.200000,0.00691334
3.216667,0.00994256
3.233333,0.01363392
3.250000,0.01850888
3.266667,0.02256288
3.283333,0.02755852
3.300000,0.03235022
3.316667,0.03468996
3.333333,0.03612252
3.350000,0.03735342
3.366667,0.03648570
3.383333,0.03702260
3.400000,0.03375832
3.416667,0.03037748
3.433333,0.02625656
3.450000,0.02077383
3.466667,0.01630851
3.483333,0.01201442
3.500000,0.00884116
3.516667,0.00655462
3.533333,0.00527692
3.550000,0.00353782
3.566667,0.00242082
3.583333,0.00124347
3.600000,0.00099992
3.616667,0.00051399
3.633333,0.00045273
3.650000,0.00022229
3.666667,0.00038715
3.683333,0.00000000
3.700000,0.00014297
3.716667,0.00073182
3.733333,0.00012843
3.750000,0.00013635
3.766667,0.00049792
3.783333,0.00025318
3.800000,0.00068210
3.816667,0.00000000
3.833333,0.00000000
3.850000,0.00030099
3.866667,0.00028587
3.883333,0.00002126
3.900000,0.00000000
3.916667,0.00000000
3.933333,0.00029521
3.950000,0.00000000
3.966667,0.00000000
3.983333,0.00045724
4.000000,0.00060537
4.016667,0.00000000
4.033333,0.00000000
4.050000,0.00000000
4.066667,0.00086817
4.083333,0.00000000
4.100000,0.00000107
4.116667,0.00000000
4.133333,0.00006983
4.150000,0.00000000
4.166667,0.00005018
4.183333,0.00006559
4.200000,0.00000000
4.216667,0.00015212
4.233333,0.00000000
4.250000,0.00000000
4.266667,0.00020977
4.283333,0.00000000
4.300000,0.00002359
4.316667,0.00000000
4.333333,0.00012226
4.350000,0.00045877
4.366667,0.00023208
4.383333,0.00000000
4.400000,0.00000000
4.416667,0.00018399
4.433333,0.00005381
4.450000,0.00000000
4.466667,0.00000000
4.483333,0.00000000
4.500000,0.00000000
4.516667,0.00000000
4.533333,0.00058727
4.550000,0.00000000
4.566667,0.00041682
4.583333,0.00000000
4.600000,0.00022237
4.616667,0.00000000
4.633333,0.00000000
4.650000,0.00001139
4.666667,0.00007658
4.683333,0.00019939
4.700000,0.00000000
4.716667,0.00000000
4.733333,0.00000000
4.750000,0.00054275
4.766667,0.00000000
4.783333,0.00007887
4.800000,0.00004576
4.816667,0.00040290
4.833333,0.00000000
4.850000,0.00000000
4.866667,0.00022879
4.883333,0.00006174
4.900000,0.00020844
4.916667,0.00000000
4.933333,0.00058807
4.950000,0.00000000
4.966667,0.00000000
4.983333,0.00003785
5.000000,0.00000000
5.016667,0.00000000
5.033333,0.00017970
5.050000,0.00016835
5.066667,0.00020242
5.083333,0.00002678
5.100000,0.00017418
5.116667,0.00030879
5.133333,0.00042342
5.150000,0.00000000
5.166667,0.00008079
5.183333,0.00008457
5.200000,0.00000000
5.216667,0.00007307
5.233333,0.00000000
5.250000,0.00000000
5.266667,0.00000000
5.283333,0.00000000
5.300000,0.00051395
5.316667,0.00045703
5.333333,0.00000000
5.350000,0.00000000
5.366667,0.00000000
5.383333,0.00018606
5.400000,0.00045254
5.416667,0.00000000
5.433333,0.00056646
5.450000,0.00000000
5.466667,0.00000000
5.483333,0.00000000
5.500000,0.00025368
5.516667,0.00026908
5.533333,0.00019935
5.550000,0.00000000
5.566667,0.00000000
5.583333,0.00000000
5.600000,0.00000000
5.616667,0.00025220
5.633333,0.00011580
5.650000,0.00005939
5.666667,0.00000000
5.683333,0.00037531
5.700000,0.00011453
5.716667,0.00070517
5.733333,0.00014626
5.750000,0.00000207
5.766667,0.00000000
5.783333,0.00018761
5.800000,0.00056964
5.816667,0.00000000
5.833333,0.00000000
5.850000,0.00007336
5.866667,0.00000000
5.883333,0.00000658
5.900000,0.00000000
5.916667,0.00000000
5.933333,0.00000000
5.950000,0.00000000
5.966667,0.00000000
5.983333,0.00000000
6.000000,0.00050252
6.016667,0.00072499
6.033333,0.00000000
6.050000,0.00000000
6.066667,0.00049024
6.083333,0.00000000
6.100000,0.00000000
6.116667,0.00000000
6.133333,0.00000000
6.150000,0.00034866
6.166667,0.00000000
6.183333,0.00012787
6.200000,0.00021276
6.216667,0.00000000
6.233333,0.00008029
6.250000,0.00000000
6.266667,0.00010493
6.283333,0.00010804
6.300000,0.00061058
6.316667,0.00000000
6.333333,0.00056188
6.350000,0.00000000
6.366667,0.00000000
6.383333,0.00059557
6.400000,0.00000000
6.416667,0.00000000
6.433333,0.00000000
6.450000,0.00017928
6.466667,0.00046614
6.483333,0.00004872
6.500000,0.00056706
6.516667,0.00015659
6.533333,0.00069899
6.550000,0.00000000
6.566667,0.00000000
6.583333,0.00000000
6.600000,0.00019793
6.616667,0.00059620
6.633333,0.00000000
6.650000,0.00031933
6.666667,0.00027514
6.683333,0.00014709
6.700000,0.00000000
6.716667,0.00013438
6.733333,0.00000000
6.750000,0.00020293
6.766667,0.00020153
6.783333,0.00071509
6.800000,0.00013654
6.816667,0.00000000
6.833333,0.00007660
6.850000,0.00026754
6.866667,0.00017408
6.883333,0.00011213
6.900000,0.00000000
6.916667,0.00000000
6.933333,0.00000000
6.950000,0.00045118
6.966667,0.00048489
6.983333,0.00024828
7.000000,0.00013036
7.016667,0.00062089
7.033333,0.00051821
7.050000,0.00000000
7.066667,0.00000000
7.083333,0.00000000
7.100000,0.00067184
7.116667,0.00006716
7.133333,0.00002710
7.150000,0.00033117
7.166667,0.00000000
7.183333,0.00000000
7.200000,0.00013404
7.216667,0.00000000
7.233333,0.00056381
7.250000,0.00000000
7.266667,0.00000000
7.283333,0.00041797
7.300000,0.00000000
7.316667,0.00000000
7.333333,0.00026651
7.350000,0.00010323
7.366667,0.00000000
7.383333,0.00000000
7.400000,0.00000000
7.416667,0.00000000
7.433333,0.00000000
7.450000,0.00000000
7.466667,0.00000000
7.483333,0.00011254
7.500000,0.00000000
7.516667,0.00000000
7.533333,0.00000000
7.550000,0.00009321
7.566667,0.00037757
7.583333,0.00000000
7.600000,0.00019532
7.616667,0.00016661
7.633333,0.00008879
7.650000,0.00005018
7.666667,0.00000000
7.683333,0.00017345
7.700000,0.00023154
7.716667,0.00000000
7.733333,0.00000000
7.750000,0.00000000
7.766667,0.00038762
7.783333,0.00020839
7.800000,0.00006080
7.816667,0.00012168
7.833333,0.00000000
7.850000,0.00000000
7.866667,0.00000000
7.883333,0.00017580
7.900000,0.00000000
7.916667,0.00073547
7.933333,0.00052211
7.950000,0.00044503
7.966667,0.00013476
7.983333,0.00030129
8.000000,0.00000000
8.016667,0.00016468
8.033333,0.00000000
8.050000,0.00001531
8.066667,0.00000000
8.083333,0.00000000
8.100000,0.00000000
8.116667,0.00000000
8.133333,0.00010749
8.150000,0.00028079
8.166667,0.00009748
8.183333,0.00048908
8.200000,0.00000000
8.216667,0.00035498
8.233333,0.00003274
8.250000,0.00053757
8.266667,0.00026076
8.283333,0.00010314
8.300000,0.00016956
8.316667,0.00015529
8.333333,0.00000000
8.350000,0.00000000
8.366667,0.00017577
8.383333,0.00003320
8.400000,0.00000000
8.416667,0.00032379
8.433333,0.00048709
8.450000,0.00041331
8.466667,0.00000000
8.483333,0.00000000
8.500000,0.00000000
8.516667,0.00006280
8.533333,0.00000000
8.550000,0.00000000
8.566667,0.00012934
