time_min,signal
0.000000,0.00088244
0.016667,0.00000000
0.033333,0.00049415
0.050000,0.00000000
0.066667,0.00000000
0.083333,0.00000369
0.100000,0.00000000
0.116667,0.00006865
0.133333,0.00010522
0.150000,0.00095633
0.166667,0.00000000
0.183333,0.00000000
0.200000,0.00000000
0.216667,0.00000000
0.233333,0.00006860
0.250000,0.00000000
0.266667,0.00000000
0.283333,0.00013287
0.300000,0.00007979
0.316667,0.00024121
0.333333,0.00000000
0.350000,0.00000000
0.366667,0.00086936
0.383333,0.00046502
0.400000,0.00000000
0.416667,0.00000000
0.433333,0.00020307
0.450000,0.00000000
0.466667,0.00000000
0.483333,0.00012238
0.500000,0.00007054
0.516667,0.00012111
0.533333,0.00013957
0.550000,0.00000000
0.566667,0.00002653
0.583333,0.00007438
0.600000,0.00000000
0.616667,0.00030347
0.633333,0.00000000
0.650000,0.00036640
0.666667,0.00000000
0.683333,0.00012643
0.700000,0.00009716
0.716667,0.00000000
0.733333,0.00000000
0.750000,0.00027839
0.766667,0.00006216
0.783333,0.00000000
0.800000,0.00000000
0.816667,0.00000000
0.833333,0.00000000
0.850000,0.00000000
0.866667,0.00013405
0.883333,0.00018886
0.900000,0.00000000
0.916667,0.00000000
0.933333,0.00013580
0.950000,0.00014054
0.966667,0.00000000
0.983333,0.00000000
1.000000,0.00000000
1.016667,0.00027698
1.033333,0.00000000
1.050000,0.00033961
1.066667,0.00000000
1.083333,0.00008705
1.100000,0.00000000
1.116667,0.00040180
1.133333,0.00012776
1.150000,0.00000000
1.166667,0.00024404
1.183333,0.00000000
1.200000,0.00000000
1.216667,0.00000000
1.233333,0.00001316
1.250000,0.00002204
1.266667,0.00025219
1.283333,0.00008126
1.300000,0.00006411
1.316667,0.00030753
1.333333,0.00035564
1.350000,0.00000000
1.366667,0.00000000
1.383333,0.00017435
1.400000,0.00000000
1.416667,0.00000000
1.433333,0.00000000
1.450000,0.00000000
1.466667,0.00000000
1.483333,0.00000000
1.500000,0.00041645
1.516667,0.00000000
1.533333,0.00039053
1.550000,0.00053623
1.566667,0.00000000
1.583333,0.00000000
1.600000,0.00000000
1.616667,0.00005204
1.633333,0.00005711
1.650000,0.00076897
1.666667,0.00000000
1.683333,0.00056931
1.700000,0.00021267
1.716667,0.00046230
1.733333,0.00022277
1.750000,0.00013171
1.766667,0.00000000
1.783333,0.00010781
1.800000,0.00092856
1.816667,0.00012003
1.833333,0.00000000
1.850000,0.00067645
1.866667,0.00000000
1.883333,0.00055380
1.900000,0.00034902
1.916667,0.00000000
1.933333,0.00078711
1.950000,0.00010255
1.966667,0.00000000
1.983333,0.00035847
2.000000,0.00033747
2.016667,0.00057605
2.033333,0.00000000
2.050000,0.00055133
2.066667,0.00000000
2.083333,0.00000000
2.100000,0.00000000
2.116667,0.00038882
2.133333,0.00000000
2.150000,0.00000000
2.166667,0.00040751
2.183333,0.00027837
2.200000,0.00000000
2.216667,0.00000000
2.233333,0.00016166
2.250000,0.00087104
2.266667,0.00040563
2.283333,0.00000000
2.300000,0.00001129
2.316667,0.00000000
2.333333,0.00037817
2.350000,0.00000000
2.366667,0.00000000
2.383333,0.00021331
2.400000,0.00000000
2.416667,0.00000000
2.433333,0.00000000
2.450000,0.00000000
2.466667,0.00000000
2.483333,0.00000000
2.500000,0.00000000
2.516667,0.00009809
2.533333,0.00042602
2.550000,0.00000000
2.566667,0.00000000
2.583333,0.00006535
2.600000,0.00000000
2.616667,0.00000000
2.633333,0.00034515
2.650000,0.00000000
2.666667,0.00094249
2.683333,0.00014643
2.700000,0.00016552
2.716667,0.00017344
2.733333,0.00000000
2.750000,0.00000000
2.766667,0.00000951
2.783333,0.00000000
2.800000,0.00000000
2.816667,0.00068326
2.833333,0.00048263
2.850000,0.00033457
2.866667,0.00013872
2.883333,0.00000000
2.900000,0.00000000
2.916667,0.00000000
2.933333,0.00023651
2.950000,0.00031315
2.966667,0.00033903
2.983333,0.00032474
3.000000,0.00000000
3.016667,0.00000000
3.033333,0.00029082
3.050000,0.00051665
3.066667,0.00000000
3.083333,0.00047162
3.100000,0.00049327
3.116667,0.00141853
3.133333,0.00125852
3.150000,0.00214869
3.166667,0.00418648
3.183333,0.00447575
3.200000,0.00732071
3.216667,0.01026174
3.233333,0.01434345
3.250000,0.01902473
3.266667,0.02331428
3.283333,0.02819580
3.300000,0.03234077
3.316667,0.03520510
3.333333,0.03616416
3.350000,0.03658483
3.366667,0.03695442
3.383333,0.03600402
3.400000,0.03411527
3.416667,0.02994254
3.433333,0.02543871
3.450000,0.02020496
3.466667,0.01500710
3.483333,0.01186270
3.500000,0.00851164
3.516667,0.00640249
3.533333,0.00498267
3.550000,0.00363500
3.566667,0.00186788
3.583333,0.00205792
3.600000,0.00111678
3.616667,0.00108177
3.633333,0.00085309
3.650000,0.00038005
3.666667,0.00020619
3.683333,0.00085065
3.700000,0.00013834
3.716667,0.00075538
3.733333,0.00012651
3.750000,0.00000000
3.766667,0.00055617
3.783333,0.00031895
3.800000,0.00012776
3.816667,0.00066700
3.833333,0.00000000
3.850000,0.00002517
3.866667,0.00000000
3.883333,0.00019729
3.900000,0.00017460
3.916667,0.00038685
3.933333,0.00005822
3.950000,0.00039800
3.966667,0.00000000
3.983333,0.00045700
4.000000,0.00000000
4.016667,0.00000000
4.033333,0.00000000
4.050000,0.00015972
4.066667,0.00000000
4.083333,0.00000000
4.100000,0.00000000
4.116667,0.00000000
4.133333,0.00000000
4.150000,0.00000000
4.166667,0.00002101
4.183333,0.00031521
4.200000,0.00000000
4.216667,0.00009466
4.233333,0.00036893
4.250000,0.00033555
4.266667,0.00007761
4.283333,0.00047512
4.300000,0.00037896
4.316667,0.00047636
4.333333,0.00000000
4.350000,0.00027590
4.366667,0.00005654
4.383333,0.00000000
4.400000,0.00073364
4.416667,0.00046293
4.433333,0.00033342
4.450000,0.00027711
4.466667,0.00000000
4.483333,0.00000000
4.500000,0.00037470
4.516667,0.00000000
4.533333,0.00012015
4.550000,0.00000000
4.566667,0.00035840
4.583333,0.00000000
4.600000,0.00000000
4.616667,0.00000000
4.633333,0.00052565
4.650000,0.00009624
4.666667,0.00004383
4.683333,0.00000000
4.700000,0.00000000
4.716667,0.00014762
4.733333,0.00000000
4.750000,0.00033037
4.766667,0.00000000
4.783333,0.00043553
4.800000,0.00006768
4.816667,0.00012081
4.833333,0.00000000
4.850000,0.00013084
4.866667,0.00000000
4.883333,0.00000000
4.900000,0.00030620
4.916667,0.00036120
4.933333,0.00014484
4.950000,0.00000000
4.966667,0.00000000
4.983333,0.00040276
5.000000,0.00000000
5.016667,0.00000000
5.033333,0.00024306
5.050000,0.00061004
5.066667,0.00000000
5.083333,0.00000000
5.100000,0.00000000
5.116667,0.00000000
5.133333,0.00015896
5.150000,0.00000000
5.166667,0.00006502
5.183333,0.00000000
5.200000,0.00000000
5.216667,0.00035119
5.233333,0.00000000
5.250000,0.00000000
5.266667,0.00031079
5.283333,0.00000000
5.300000,0.00030966
5.316667,0.00018519
5.333333,0.00028887
5.350000,0.00034527
5.366667,0.00000000
5.383333,0.00008061
5.400000,0.00040846
5.416667,0.00000000
5.433333,0.00030769
5.450000,0.00000000
5.466667,0.00000000
5.483333,0.00000000
5.500000,0.00005404
5.516667,0.00021157
5.533333,0.00058126
5.550000,0.00052571
5.566667,0.00000000
5.583333,0.00000000
5.600000,0.00078166
5.616667,0.00027343
5.633333,0.00000000
5.650000,0.00062783
5.666667,0.00000000
5.683333,0.00000000
5.700000,0.00000000
5.716667,0.00040144
5.733333,0.00000000
5.750000,0.00000000
5.766667,0.00000000
5.783333,0.00000000
5.800000,0.00054628
5.816667,0.00000000
5.833333,0.00000000
5.850000,0.00033043
5.866667,0.00000000
5.883333,0.00021701
5.900000,0.00018907
5.916667,0.00017930
5.933333,0.00000000
5.950000,0.00000000
5.966667,0.00000000
5.983333,0.00000000
6.000000,0.00000000
6.016667,0.00000718
6.033333,0.00000000
6.050000,0.00000000
6.066667,0.00010391
6.083333,0.00002141
6.100000,0.00016293
6.116667,0.00000000
6.133333,0.00032677
6.150000,0.00038607
6.166667,0.00043227
6.183333,0.00000000
6.200000,0.00000000
6.216667,0.00000000
6.233333,0.00026937
6.250000,0.00000000
6.266667,0.00000000
6.283333,0.00019964
6.300000,0.00000000
6.316667,0.00033561
6.333333,0.00000000
6.350000,0.00011691
6.366667,0.00000000
6.383333,0.00017542
6.400000,0.00000000
6.416667,0.00028256
6.433333,0.00000000
6.450000,0.00000208
6.466667,0.00047031
6.483333,0.00056973
6.500000,0.00030189
6.516667,0.00004559
6.533333,0.00044414
6.550000,0.00000000
6.566667,0.00000000
6.583333,0.00019634
6.600000,0.00050136
6.616667,0.00019212
6.633333,0.00012697
6.650000,0.00077319
6.666667,0.00000000
6.683333,0.00000000
6.700000,0.00025233
6.716667,0.00018789
6.733333,0.00005108
6.750000,0.00000000
6.766667,0.00000000
6.783333,0.00000000
6.800000,0.00008292
6.816667,0.00000000
6.833333,0.00029450
6.850000,0.00023390
6.866667,0.00037513
6.883333,0.00000000
6.900000,0.00036276
6.916667,0.00008034
6.933333,0.00000000
6.950000,0.00000000
6.966667,0.00000000
6.983333,0.00009541
7.000000,0.00040271
7.016667,0.00000000
7.033333,0.00000000
7.050000,0.00000000
7.066667,0.00031746
7.083333,0.00000000
7.100000,0.00084212
7.116667,0.00003313
7.133333,0.00031399
7.150000,0.00000000
7.166667,0.00017374
7.183333,0.00000000
7.200000,0.00000000
7.216667,0.00032777
7.233333,0.00000000
7.250000,0.00000000
7.266667,0.00031325
7.283333,0.00000000
7.300000,0.00029618
7.316667,0.00029063
7.333333,0.00034625
7.350000,0.00000000
7.366667,0.00002441
7.383333,0.00027013
7.400000,0.00012174
7.416667,0.00000000
7.433333,0.00002515
7.450000,0.00034400
7.466667,0.00007587
7.483333,0.00000000
7.500000,0.00048381
7.516667,0.00000000
7.533333,0.00010344
7.550000,0.00017558
7.566667,0.00000000
7.583333,0.00000000
7.600000,0.00005398
7.616667,0.00000000
7.633333,0.00000000
7.650000,0.00000000
7.666667,0.00053239
7.683333,0.00000000
7.700000,0.00000000
7.716667,0.00000000
7.733333,0.00000000
7.750000,0.00000000
7.766667,0.00000000
7.783333,0.00087698
7.800000,0.00018092
7.816667,0.00000000
7.833333,0.00055087
7.850000,0.00028668
7.866667,0.00000000
7.883333,0.00016099
7.900000,0.00000000
7.916667,0.00032661
7.933333,0.00000000
7.950000,0.00000000
7.966667,0.00015857
7.983333,0.00000000
8.000000,0.00021955
8.016667,0.00000000
8.033333,0.00000000
8.050000,0.00004599
8.066667,0.00000000
8.083333,0.00000000
8.100000,0.00000000
8.116667,0.00000000
8.133333,0.00000000
8.150000,0.00041198
8.166667,0.00000000
8.183333,0.00015742
8.200000,0.00000000
8.216667,0.00025347
8.233333,0.00000000
8.250000,0.00000000
8.266667,0.00062348
8.283333,0.00070422
8.300000,0.00060604
8.316667,0.00000000
8.333333,0.00000000
8.350000,0.00023252
8.366667,0.00000000
8.383333,0.00037976
8.400000,0.00036753
8.416667,0.00010578
8.433333,0.00000000
8.450000,0.00088463
8.466667,0.00017616
8.483333,0.00030418
8.500000,0.00000000
8.516667,0.00000000
8.533333,0.00000000
8.550000,0.00020727
8.566667,0.00000000
8.583333,0.00000000
8.600000,0.00016171
8.616667,0.00000000
8.633333,0.00008340
8.650000,0.00062369
8.666667,0.00000000
8.683333,0.00000000
8.700000,0.00034145
8.716667,0.00011024
8.733333,0.00023937
8.750000,0.00000000
8.766667,0.00000000
8.783333,0.00000000
8.800000,0.00013032
8.816667,0.00000000
8.833333,0.00000000
8.850000,0.00000000
8.866667,0.00000000
8.883333,0.00019534
8.900000,0.00008140
8.916667,0.00035148
8.933333,0.00044973
8.950000,0.00025412
8.966667,0.00001185
8.983333,0.00000000
9.000000,0.00006542
9.016667,0.00000000
9.033333,0.00007642
9.050000,0.00035968
9.066667,0.00000000
9.083333,0.00022864
9.100000,0.00000000
9.116667,0.00030974
9.133333,0.00021664
9.150000,0.00000000
9.166667,0.00039830
9.183333,0.00000000
9.200000,0.00017126
9.216667,0.00000000
9.233333,0.00000000
9.250000,0.00057172
9.266667,0.00000000
9.283333,0.00000000
9.300000,0.00000000
9.316667,0.00000000
9.333333,0.00000000
9.350000,0.00006339
9.366667,0.00039778
9.383333,0.00000000
9.400000,0.00000000
9.416667,0.00000000
9.433333,0.00007430
9.450000,0.00000000
9.466667,0.00028254
9.483333,0.00000000
9.500000,0.00000000
9.516667,0.00000000
9.533333,0.00000000
9.550000,0.00004642
9.566667,0.00000000
9.583333,0.00000000
9.600000,0.00050008
9.616667,0.00067266
9.633333,0.00006660
9.650000,0.00046478
9.666667,0.00000000
9.683333,0.00073028
9.700000,0.00000000
9.716667,0.00039819
9.733333,0.00000000
9.750000,0.00000000
9.766667,0.00022685
9.783333,0.00000000
9.800000,0.00000000
9.816667,0.00000000
9.833333,0.00000000
9.850000,0.00000000
9.866667,0.00029163
9.883333,0.00000000
9.900000,0.00040992
9.916667,0.00072900
9.933333,0.00049379
9.950000,0.00008191
9.966667,0.00081229
9.983333,0.00000000
10.000000,0.00000000
10.016667,0.00000000
10.033333,0.00000000
10.050000,0.00071987
10.066667,0.00037264
10.083333,0.00000000
10.100000,0.00092910
10.116667,0.00008277
10.133333,0.00000000
10.150000,0.00029810
10.166667,0.00053599
10.183333,0.00000000
10.200000,0.00000000
10.216667,0.00039629
10.233333,0.00000000
10.250000,0.00000000
10.266667,0.00002958
10.283333,0.00024246
10.300000,0.00056058
10.316667,0.00025141
10.333333,0.00000000
10.350000,0.00000000
10.366667,0.00000000
10.383333,0.00059588
10.400000,0.00034253
10.416667,0.00000000
10.433333,0.00000000
10.450000,0.00000000
10.466667,0.00033186
10.483333,0.00062147
10.500000,0.00012177
10.516667,0.00000000
10.533333,0.00024396
10.550000,0.00000000
10.566667,0.00056394
10.583333,0.00000000
10.600000,0.00000000
10.616667,0.00000000
10.633333,0.00016102
10.650000,0.00054192
10.666667,0.00011353
10.683333,0.00051859
10.700000,0.00075199
10.716667,0.00000000
10.733333,0.00000000
10.750000,0.00039482
10.766667,0.00004118
10.783333,0.00064167
10.800000,0.00057840
10.816667,0.00002696
10.833333,0.00000000
10.850000,0.00037120
10.866667,0.00000000
10.883333,0.00000000
10.900000,0.00035063
10.916667,0.00000000
10.933333,0.00000000
10.950000,0.00000000
10.966667,0.00000000
10.983333,0.00001771
11.000000,0.00000000
11.016667,0.00014910
11.033333,0.00000000
11.050000,0.00019351
11.066667,0.00003465
11.083333,0.00068060
11.100000,0.00035172
11.116667,0.00000000
11.133333,0.00000000
11.150000,0.00000000
11.166667,0.00061923
11.183333,0.00018152
11.200000,0.00000339
11.216667,0.00002171
11.233333,0.00000000
11.250000,0.00012149
11.266667,0.00000000
11.283333,0.00000000
11.300000,0.00049733
11.316667,0.00000000
11.333333,0.00051956
11.350000,0.00000000
11.366667,0.00000000
11.383333,0.00000000
11.400000,0.00001696
11.416667,0.00000000
11.433333,0.00000000
11.450000,0.00000000
11.466667,0.00007786
11.483333,0.00000000
11.500000,0.00002675
11.516667,0.00008041
11.533333,0.00000000
11.550000,0.00000000
11.566667,0.00000000
11.583333,0.00000000
11.600000,0.00049614
11.616667,0.00031859
11.633333,0.00066534
11.650000,0.00000000
11.666667,0.00005914
11.683333,0.00000000
11.700000,0.00052615
11.716667,0.00000000
11.733333,0.00017926
11.750000,0.00010116
11.766667,0.00000000
11.783333,0.00032357
11.800000,0.00000000
11.816667,0.00000000
11.833333,0.00000000
11.850000,0.00002381
11.866667,0.00000000
11.883333,0.00017541
11.900000,0.00000000
11.916667,0.00000000
11.933333,0.00001171
11.950000,0.00062599
11.966667,0.00000000
11.983333,0.00000000
12.000000,0.00060900
12.016667,0.00004742
12.033333,0.00091961
12.050000,0.00048566
12.066667,0.00000000
12.083333,0.00006819
12.100000,0.00000000
12.116667,0.00000000
12.133333,0.00000000
12.150000,0.00037954
12.166667,0.00010021
12.183333,0.00000000
12.200000,0.00037703
12.216667,0.00000000
12.233333,0.00000000
12.250000,0.00000000
12.266667,0.00015215
12.283333,0.00000000
12.300000,0.00000000
12.316667,0.00000000
12.333333,0.00036929
12.350000,0.00041426
12.366667,0.00013308
12.383333,0.00000000
12.400000,0.00000000
12.416667,0.00000000
12.433333,0.00000000
12.450000,0.00000000
12.466667,0.00024402
12.483333,0.00000000
12.500000,0.00007240
12.516667,0.00010503
12.533333,0.00022756
12.550000,0.00000000
12.566667,0.00000000
12.583333,0.00004194
12.600000,0.00000415
12.616667,0.00000000
12.633333,0.00000000
12.650000,0.00000000
12.666667,0.00017257
12.683333,0.00076512
12.700000,0.00000000
12.716667,0.00065375
12.733333,0.00008587
12.750000,0.00000000
12.766667,0.00000000
