time_min,signal
0.000000,0.00039205
0.016667,0.00024048
0.033333,0.00000000
0.050000,0.00043563
0.066667,0.00037333
0.083333,0.00045264
0.100000,0.00000000
0.116667,0.00000000
0.133333,0.00006447
0.150000,0.00038599
0.166667,0.00008740
0.183333,0.00000000
0.200000,0.00064193
0.216667,0.00009483
0.233333,0.00000000
0.250000,0.00059811
0.266667,0.00035684
0.283333,0.00012610
0.300000,0.00040576
0.316667,0.00016385
0.333333,0.00048530
0.350000,0.00000000
0.366667,0.00000000
0.383333,0.00011999
0.400000,0.00000000
0.416667,0.00012507
0.433333,0.00000000
0.450000,0.00000000
0.466667,0.00000000
0.483333,0.00000000
0.500000,0.00000000
0.516667,0.00000000
0.533333,0.00008666
0.550000,0.00025021
0.566667,0.00002857
0.583333,0.00034135
0.600000,0.00000000
0.616667,0.00025628
0.633333,0.00028600
0.650000,0.00000000
0.666667,0.00061720
0.683333,0.00024747
0.700000,0.00000000
0.716667,0.00029262
0.733333,0.00050573
0.750000,0.00003519
0.766667,0.00000000
0.783333,0.00000000
0.800000,0.00000000
0.816667,0.00064143
0.833333,0.00000000
0.850000,0.00014471
0.866667,0.00003142
0.883333,0.00027484
0.900000,0.00018086
0.916667,0.00000000
0.933333,0.00000000
0.950000,0.00023806
0.966667,0.00071396
0.983333,0.00098802
1.000000,0.00000000
1.016667,0.00000000
1.033333,0.00000000
1.050000,0.00002515
1.066667,0.00000000
1.083333,0.00000000
1.100000,0.00000000
1.116667,0.00010775
1.133333,0.00000000
1.150000,0.00053937
1.166667,0.00000000
1.183333,0.00000000
1.200000,0.00000000
1.216667,0.00000000
1.233333,0.00040840
1.250000,0.00000000
1.266667,0.00000000
1.283333,0.00000000
1.300000,0.00000000
1.316667,0.00020092
1.333333,0.00000000
1.350000,0.00007813
1.366667,0.00006684
1.383333,0.00000000
1.400000,0.00000000
1.416667,0.00000000
1.433333,0.00000000
1.450000,0.00000000
1.466667,0.00024570
1.483333,0.00048989
1.500000,0.00000000
1.516667,0.00000000
1.533333,0.00000000
1.550000,0.00000000
1.566667,0.00000000
1.583333,0.00000000
1.600000,0.00000000
1.616667,0.00064434
1.633333,0.00036133
1.650000,0.00000000
1.666667,0.00024474
1.683333,0.00000000
1.700000,0.00022360
1.716667,0.00000000
1.733333,0.00031031
1.750000,0.00000000
1.766667,0.00007282
1.783333,0.00017544
1.800000,0.00000000
1.816667,0.00036306
1.833333,0.00000000
1.850000,0.00000000
1.866667,0.00000000
1.883333,0.00017498
1.900000,0.00047943
1.916667,0.00000000
1.933333,0.00000000
1.950000,0.00000000
1.966667,0.00015374
1.983333,0.00033232
2.000000,0.00000000
2.016667,0.00000000
2.033333,0.00000000
2.050000,0.00042305
2.066667,0.00077379
2.083333,0.00027472
2.100000,0.00000000
2.116667,0.00000000
2.133333,0.00009722
2.150000,0.00000000
2.166667,0.00000000
2.183333,0.00000000
2.200000,0.00028798
2.216667,0.00007702
2.233333,0.00026726
2.250000,0.00000000
2.266667,0.00070657
2.283333,0.00004997
2.300000,0.00000000
2.316667,0.00000000
2.333333,0.00008497
2.350000,0.00000000
2.366667,0.00000000
2.383333,0.00004422
2.400000,0.00010782
2.416667,0.00000000
2.433333,0.00000000
2.450000,0.00000050
2.466667,0.00000000
2.483333,0.00011621
2.500000,0.00000000
2.516667,0.00042481
2.533333,0.00000000
2.550000,0.00001148
2.566667,0.00000000
2.583333,0.00075621
2.600000,0.00004960
2.616667,0.00000000
2.633333,0.00008673
2.650000,0.00000000
2.666667,0.00000342
2.683333,0.00000000
2.700000,0.00069791
2.716667,0.00036705
2.733333,0.00000000
2.750000,0.00044569
2.766667,0.00000000
2.783333,0.00000000
2.800000,0.00041064
2.816667,0.00132015
2.833333,0.00000000
2.850000,0.00039565
2.866667,0.00000000
2.883333,0.00066104
2.900000,0.00005760
2.916667,0.00005278
2.933333,0.00000000
2.950000,0.00030944
2.966667,0.00000000
2.983333,0.00030225
3.000000,0.00013002
3.016667,0.00000000
3.033333,0.00000000
3.050000,0.00025844
3.066667,0.00052933
3.083333,0.00073675
3.100000,0.00019568
3.116667,0.00138233
3.133333,0.00157745
3.150000,0.00218230
3.166667,0.00257113
3.183333,0.00529619
3.200000,0.00699722
3.216667,0.00942411
3.233333,0.01482800
3.250000,0.01890117
3.266667,0.02300870
3.283333,0.02860897
3.300000,0.03239040
3.316667,0.03487089
3.333333,0.03641929
3.350000,0.03721135
3.366667,0.03693511
3.383333,0.03652137
3.400000,0.03429148
3.416667,0.02964329
3.433333,0.02542472
3.450000,0.02112493
3.466667,0.01526874
3.483333,0.01162236
3.500000,0.00931244
3.516667,0.00633762
3.533333,0.00463937
3.550000,0.00318278
3.566667,0.00239041
3.583333,0.00173297
3.600000,0.00187154
3.616667,0.00104685
3.633333,0.00045573
3.650000,0.00006120
3.666667,0.00000000
3.683333,0.00009263
3.700000,0.00033409
3.716667,0.00071392
3.733333,0.00000000
3.750000,0.00000000
3.766667,0.00000000
3.783333,0.00000000
3.800000,0.00025390
3.816667,0.00023108
3.833333,0.00084080
3.850000,0.00007567
3.866667,0.00000000
3.883333,0.00052800
3.900000,0.00000000
3.916667,0.00000000
3.933333,0.00000000
3.950000,0.00000000
3.966667,0.00000000
3.983333,0.00000000
4.000000,0.00000000
4.016667,0.00037511
4.033333,0.00030832
4.050000,0.00000000
4.066667,0.00035639
4.083333,0.00000000
4.100000,0.00006354
4.116667,0.00000000
4.133333,0.00000000
4.150000,0.00000000
4.166667,0.00000000
4.183333,0.00000000
4.200000,0.00000000
4.216667,0.00034813
4.233333,0.00027518
4.250000,0.00048503
4.266667,0.00000000
4.283333,0.00037485
4.300000,0.00013196
4.316667,0.00000000
4.333333,0.00029675
4.350000,0.00001877
4.366667,0.00044268
4.383333,0.00000000
4.400000,0.00029220
4.416667,0.00000000
4.433333,0.00000000
4.450000,0.00000000
4.466667,0.00000000
4.483333,0.00025940
4.500000,0.00000000
4.516667,0.00018890
4.533333,0.00038326
4.550000,0.00000452
4.566667,0.00073335
4.583333,0.00000000
4.600000,0.00012592
4.616667,0.00090451
4.633333,0.00025867
4.650000,0.00000000
4.666667,0.00000000
4.683333,0.00000000
4.700000,0.00000000
4.716667,0.00032582
4.733333,0.00044997
4.750000,0.00007055
4.766667,0.00000000
4.783333,0.00075577
4.800000,0.00035590
4.816667,0.00000000
4.833333,0.00000000
4.850000,0.00000000
4.866667,0.00042954
4.883333,0.00052999
4.900000,0.00000000
4.916667,0.00029124
4.933333,0.00023679
4.950000,0.00036850
4.966667,0.00000000
4.983333,0.00000000
5.000000,0.00022032
5.016667,0.00007152
5.033333,0.00038138
