time_min,signal
0.00,0.0246
0.10,0.0672
0.20,0.0314
0.30,0.0888
0.40,0.0490
0.50,0.1583
0.60,0.0000
0.70,0.0796
0.80,0.0000
0.90,0.0209
1.00,0.0000
1.10,0.0000
1.20,0.0000
1.30,0.0549
1.40,0.0000
1.50,0.0801
1.60,0.0000
1.70,0.0479
1.80,0.0087
1.90,0.0407
2.00,0.0314
2.10,0.0000
2.20,0.0680
2.30,0.1457
2.40,1.5960
2.50,8.1918
2.60,9.8408
2.70,10.0592
2.80,10.0231
2.90,9.9425
3.00,10.0782
3.10,10.0847
3.20,9.8244
3.30,9.9407
3.40,8.4908
3.50,1.8128
3.60,0.1607
3.70,0.0313
3.80,0.1137
3.90,0.1109
4.00,0.0000
4.10,0.0000
4.20,0.0000
4.30,0.0321
4.40,0.0109
4.50,0.0000
4.60,0.0000
4.70,0.0116
4.80,0.0000
4.90,0.0000
5.00,0.0923
5.10,0.0000
5.20,0.0747
5.30,0.0897
5.40,0.0000
5.50,0.0558
5.60,0.1180
5.70,0.0878
5.80,0.2033
5.90,0.0357
6.00,0.1024
6.10,0.0969
6.20,0.1719
6.30,0.2147
6.40,0.2292
6.50,0.2418
6.60,0.3396
6.70,0.3476
6.80,0.2960
6.90,0.4843
7.00,0.3868
7.10,0.5362
7.20,0.4302
7.30,0.4679
7.40,0.5861
7.50,0.4938
7.60,0.7142
7.70,0.8270
7.80,0.8424
7.90,0.9110
8.00,1.0119
8.10,1.0292
8.20,0.9252
8.30,1.1678
8.40,1.0886
8.50,1.2667
8.60,1.2770
8.70,1.2679
8.80,1.4237
8.90,1.3877
9.00,1.4507
9.10,1.4383
9.20,1.6438
9.30,1.4612
9.40,1.5259
9.50,1.6924
9.60,1.4821
9.70,1.6292
9.80,1.6964
9.90,1.6462
10.00,1.6869
10.10,1.7606
10.20,1.6771
10.30,1.5837
10.40,1.6892
10.50,1.7338
10.60,1.7976
10.70,1.6429
10.80,1.6414
10.90,1.7939
11.00,1.7263
11.10,1.7664
11.20,1.7441
11.30,1.5847
11.40,1.5992
11.50,1.6254
11.60,1.4819
11.70,1.3681
11.80,1.5745
11.90,1.4676
12.00,1.2713
12.10,1.4011
12.20,1.3005
12.30,1.2649
12.40,1.2899
12.50,1.1462
12.60,1.1255
12.70,1.1755
12.80,0.9734
12.90,1.2102
13.00,1.0788
13.10,0.9436
13.20,1.0166
13.30,0.7669
13.40,0.6642
13.50,0.8410
13.60,0.8720
13.70,0.6474
13.80,0.7081
13.90,0.6730
14.00,0.5485
14.10,0.5332
14.20,0.5820
14.30,0.6281
14.40,0.4884
14.50,0.5675
14.60,0.4470
14.70,0.4443
14.80,0.5016
14.90,0.2464
15.00,0.2658
15.10,0.3309
15.20,0.4260
15.30,0.3441
15.40,0.2630
15.50,0.2108
15.60,0.2448
15.70,0.2664
15.80,0.1348
15.90,0.2640
16.00,0.1896
16.10,0.2404
16.20,0.0948
16.30,0.0629
16.40,0.1818
16.50,0.0071
16.60,0.1020
16.70,0.0144
16.80,0.1115
16.90,0.0365
17.00,0.0662
17.10,0.0750
17.20,0.0000
17.30,0.0482
17.40,0.0790
17.50,0.1089
17.60,0.0000
17.70,0.0947
17.80,0.0370
17.90,0.0000
18.00,0.0000
18.10,0.0020
18.20,0.0000
18.30,0.1201
18.40,0.0836
18.50,0.1783
18.60,0.0308
18.70,0.0000
18.80,0.0282
18.90,0.0000
19.00,0.0000
19.10,0.0660
19.20,0.0000
19.30,0.0000
19.40,0.0388
19.50,0.0000
19.60,0.0616
19.70,0.0000
19.80,0.0756
19.90,0.0000
20.00,0.0385
