time_min,signal
0.00,0.0441
0.10,0.0000
0.20,0.0055
0.30,0.0000
0.40,0.0150
0.50,0.1124
0.60,0.0000
0.70,0.2431
0.80,0.0000
0.90,0.1088
1.00,0.1245
1.10,0.2655
1.20,0.1014
1.30,0.0000
1.40,0.0000
1.50,0.0532
1.60,0.0000
1.70,0.0649
1.80,0.2884
1.90,0.0982
2.00,0.0000
2.10,0.2183
2.20,1.1801
2.30,7.9484
2.40,10.0445
2.50,10.0082
2.60,10.0825
2.70,9.6497
2.80,10.2333
2.90,9.8778
3.00,9.9455
3.10,9.9317
3.20,8.7358
3.30,1.9668
3.40,0.0000
3.50,0.1201
3.60,0.0268
3.70,0.0000
3.80,0.1062
3.90,0.0000
4.00,0.0000
4.10,0.0000
4.20,0.0000
4.30,0.0000
4.40,0.0000
4.50,0.0336
4.60,0.0000
4.70,0.1754
4.80,0.0000
4.90,0.0000
5.00,0.0470
5.10,0.0000
5.20,0.0000
5.30,0.0000
5.40,0.0999
5.50,0.2454
5.60,0.0452
5.70,0.0000
5.80,0.0000
5.90,0.0546
6.00,0.1533
6.10,0.0000
6.20,0.0000
6.30,0.1075
6.40,0.0572
6.50,0.0000
6.60,0.0000
6.70,0.0000
6.80,0.0447
6.90,0.0490
7.00,0.0000
7.10,0.0000
7.20,0.0153
7.30,0.1387
7.40,0.0000
7.50,0.0667
7.60,0.0000
7.70,0.1723
7.80,0.1003
7.90,0.0000
8.00,0.0000
8.10,0.0332
8.20,0.0000
8.30,0.0000
8.40,0.0128
8.50,0.0000
8.60,0.0000
8.70,0.0000
8.80,0.0242
8.90,0.2287
9.00,0.0075
9.10,0.1882
9.20,0.0000
9.30,0.0000
9.40,0.0228
9.50,0.0000
9.60,0.0502
9.70,0.0000
9.80,0.0000
9.90,0.0000
10.00,0.0000
