time_min,UV280_mAU
0.0,2.366
0.5,0.752
1.0,2.901
1.5,3.129
2.0,0.0
2.5,0.437
3.0,2.153
3.5,1.621
4.0,1.98
4.5,0.976
5.0,3.055
5.5,2.933
6.0,2.079
6.5,3.353
7.0,2.561
7.5,0.969
8.0,2.443
8.5,0.849
9.0,3.054
9.5,1.94
10.0,1.778
10.5,1.183
11.0,3.467
11.5,1.815
12.0,1.486
12.5,1.577
13.0,2.639
13.5,2.439
14.0,2.495
14.5,2.517
15.0,4.57
15.5,1.513
16.0,1.386
16.5,1.025
17.0,2.741
17.5,3.358
18.0,1.868
18.5,0.999
19.0,1.021
19.5,2.795
20.0,2.912
20.5,2.681
21.0,1.242
21.5,2.335
22.0,2.217
22.5,2.368
23.0,3.19
23.5,2.464
24.0,3.077
24.5,2.431
25.0,2.811
25.5,3.368
26.0,1.049
26.5,2.651
27.0,2.769
27.5,2.939
28.0,3.837
28.5,6.529
29.0,4.389
29.5,7.428
30.0,5.253
30.5,8.069
31.0,10.083
31.5,12.251
32.0,14.33
32.5,16.651
33.0,17.822
33.5,20.564
34.0,25.382
34.5,27.722
35.0,30.391
35.5,34.901
36.0,39.855
36.5,46.589
37.0,51.504
37.5,57.769
38.0,62.248
38.5,68.922
39.0,75.534
39.5,80.463
40.0,87.346
40.5,91.786
41.0,97.653
41.5,102.768
42.0,106.465
42.5,112.607
43.0,114.952
43.5,118.323
44.0,120.922
44.5,122.12
45.0,122.798
45.5,121.466
46.0,119.837
46.5,118.212
47.0,113.49
47.5,110.286
48.0,106.312
48.5,102.029
49.0,98.568
49.5,91.494
50.0,86.344
50.5,82.394
51.0,74.356
51.5,69.617
52.0,61.64
52.5,56.693
53.0,50.193
53.5,45.586
54.0,41.967
54.5,34.189
55.0,32.444
55.5,28.237
56.0,23.639
56.5,19.384
57.0,18.327
57.5,15.064
58.0,13.755
58.5,11.573
59.0,11.81
59.5,8.184
60.0,6.044
60.5,6.481
61.0,5.692
61.5,6.366
62.0,5.17
62.5,4.134
63.0,5.089
63.5,1.608
64.0,2.03
64.5,1.498
65.0,1.996
65.5,0.698
66.0,3.025
66.5,1.929
67.0,0.379
67.5,0.887
68.0,2.454
68.5,3.062
69.0,4.436
69.5,5.525
70.0,2.518
70.5,0.827
71.0,0.0
71.5,2.328
72.0,1.029
72.5,1.505
73.0,1.268
73.5,1.833
74.0,3.28
74.5,2.189
75.0,1.81
75.5,0.758
76.0,0.0
76.5,1.417
77.0,1.936
77.5,4.122
78.0,2.156
78.5,3.179
79.0,1.401
79.5,0.578
80.0,0.842
80.5,1.13
81.0,4.554
81.5,1.014
82.0,3.006
82.5,0.916
83.0,3.118
83.5,2.462
84.0,1.812
84.5,1.951
85.0,1.214
85.5,2.535
86.0,1.454
86.5,0.529
87.0,0.466
87.5,2.207
88.0,3.895
88.5,2.192
89.0,1.858
89.5,2.343
90.0,3.567
90.5,2.263
91.0,1.507
91.5,3.328
92.0,2.515
92.5,3.843
93.0,2.22
93.5,0.531
94.0,0.358
94.5,3.981
95.0,4.068
95.5,1.785
96.0,1.54
96.5,3.754
97.0,0.672
97.5,0.926
98.0,2.772
98.5,1.526
99.0,1.994
99.5,1.804
100.0,2.405
